                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5167,                 3.1561,                 1.6828,                0.34017,                0.27538,                0.13929,                 0.0839,                 1.2605,                  3.148,                 1.4478,             0.00013566,             0.00013566,             0.00013566
                      2,                 1.1819,                 1.9699,                 1.3366,                0.53694,                0.22432,                0.19293,                0.12498,                 1.1718,                 3.8462,                 1.3319,             0.00027708,             0.00027708,             0.00027708
                      3,                  1.109,                 1.6974,                 1.2738,                0.53707,                0.27602,                0.20031,                0.13099,                 1.2357,                 2.0602,                 1.3993,             0.00041709,             0.00041709,             0.00041709
                      4,                 1.0987,                 1.6199,                  1.264,                0.29213,                0.33174,                0.29706,                0.19641,                 1.1718,                 2.0589,                 1.3804,             0.00055568,             0.00055568,             0.00055568
                      5,                   1.08,                 1.5396,                 1.2694,                0.25274,                0.33291,                0.25121,                0.16841,                 1.2708,                  1.991,                  1.454,             0.00069286,             0.00069286,             0.00069286
                      6,                 1.1071,                 1.5135,                 1.2929,                0.54281,                0.26608,                0.26205,                0.15988,                 1.3035,                 2.1112,                 1.5001,             0.00069633,             0.00069633,             0.00069633
                      7,                 1.1154,                 1.4837,                 1.2918,                0.65914,                0.26602,                0.30045,                0.18652,                 1.1877,                 2.1905,                 1.4246,             0.00069633,             0.00069633,             0.00069633
                      8,                 1.0677,                 1.4499,                 1.2748,                 0.4811,                0.29318,                 0.2238,                0.14703,                 1.1927,                 2.1389,                 1.4079,             0.00069279,             0.00069279,             0.00069279
                      9,                 1.0475,                 1.3977,                 1.2527,                0.63195,                 0.3423,                0.33203,                0.21459,                  1.208,                 1.8281,                 1.4223,             0.00068926,             0.00068926,             0.00068926
                     10,                 1.0463,                  1.374,                  1.242,                0.54301,                0.32908,                 0.3546,                0.23169,                  1.154,                 1.6725,                 1.3712,             0.00068573,             0.00068573,             0.00068573
                     11,                 1.0654,                 1.5365,                 1.2832,                0.44193,                0.44449,                0.33273,                0.20892,                 1.1691,                 1.7771,                 1.3858,             0.00068219,             0.00068219,             0.00068219
                     12,                 1.0388,                 1.4071,                 1.2555,                 0.4078,                0.47423,                0.38281,                 0.2256,                 1.1745,                 1.7296,                 1.4027,             0.00067866,             0.00067866,             0.00067866
                     13,                 1.0113,                 1.3719,                  1.239,                0.43712,                0.39629,                0.39137,                  0.257,                 1.1562,                 1.6426,                 1.3829,             0.00067512,             0.00067512,             0.00067512
                     14,                0.96164,                 1.3326,                  1.205,                0.48941,                0.50534,                0.43282,                0.28401,                 1.1285,                 1.4707,                 1.3527,             0.00067159,             0.00067159,             0.00067159
                     15,                 1.0264,                 1.2946,                  1.245,                0.68782,                0.32031,                0.35804,                0.24209,                 1.1857,                 1.6164,                 1.3989,             0.00066805,             0.00066805,             0.00066805
                     16,                0.96991,                 1.2646,                 1.2226,                0.50236,                0.37238,                0.38425,                0.23949,                 1.1759,                  1.621,                 1.3984,             0.00066452,             0.00066452,             0.00066452
                     17,                0.98114,                 1.2541,                 1.2183,                 0.3708,                 0.4439,                0.34901,                0.23091,                 1.1575,                 1.6725,                  1.405,             0.00066099,             0.00066099,             0.00066099
                     18,                0.95375,                 1.1507,                 1.1685,                0.48695,                0.40761,                0.35075,                  0.227,                 1.1516,                 1.5732,                 1.3751,             0.00065745,             0.00065745,             0.00065745
                     19,                0.93616,                 1.0728,                 1.1541,                0.38725,                0.49416,                0.42968,                 0.2883,                 1.1172,                 1.4774,                 1.3441,             0.00065392,             0.00065392,             0.00065392
                     20,                0.92077,                 1.1277,                 1.1712,                0.52082,                0.41374,                0.40324,                0.27769,                 1.1286,                 1.4995,                  1.349,             0.00065038,             0.00065038,             0.00065038
                     21,                 0.9343,                 1.0598,                  1.157,                0.35055,                0.48101,                 0.4042,                0.27047,                 1.1405,                 1.5807,                 1.3803,             0.00064685,             0.00064685,             0.00064685
                     22,                0.92348,                 1.0459,                 1.1488,                0.46236,                0.39081,                0.41962,                0.28821,                 1.1222,                 1.5846,                 1.3645,             0.00064331,             0.00064331,             0.00064331
                     23,                0.90778,                 1.0095,                   1.14,                 0.4136,                0.45911,                0.40439,                0.27482,                 1.1007,                 1.5576,                 1.3233,             0.00063978,             0.00063978,             0.00063978
                     24,                0.89593,                0.98868,                 1.1361,                0.58238,                0.37865,                 0.4303,                0.27589,                 1.1282,                 1.6163,                 1.3517,             0.00063625,             0.00063625,             0.00063625
                     25,                0.86934,                 1.0002,                 1.1301,                0.44387,                0.46267,                0.42353,                0.28926,                 1.0883,                 1.5023,                 1.3309,             0.00063271,             0.00063271,             0.00063271
                     26,                 0.8329,                0.97153,                 1.1267,                0.54084,                0.36837,                0.38852,                0.26326,                 1.1345,                 1.6286,                 1.3573,             0.00062918,             0.00062918,             0.00062918
                     27,                0.87095,                 1.0086,                 1.1447,                0.47722,                0.43997,                0.42929,                0.29511,                 1.0932,                 1.4847,                 1.3363,             0.00062564,             0.00062564,             0.00062564
                     28,                0.86205,                0.99792,                 1.1074,                0.57113,                0.37485,                0.45108,                0.30601,                 1.0918,                 1.4766,                 1.3237,             0.00062211,             0.00062211,             0.00062211
                     29,                0.87918,                 1.0476,                 1.1487,                0.48091,                0.42416,                 0.4377,                0.29193,                 1.1298,                 1.4708,                 1.3559,             0.00061857,             0.00061857,             0.00061857
                     30,                0.84784,                0.94921,                 1.1235,                0.53638,                0.45208,                0.45324,                0.30336,                 1.1449,                 1.5263,                 1.3754,             0.00061504,             0.00061504,             0.00061504
                     31,                0.84425,                 1.0576,                 1.1427,                0.50411,                0.41184,                0.39244,                0.27128,                 1.0954,                 1.5517,                 1.3326,             0.00061151,             0.00061151,             0.00061151
                     32,                0.86199,                0.95623,                 1.1294,                0.42778,                0.48341,                0.41055,                0.28259,                 1.0861,                 1.5079,                   1.33,             0.00060797,             0.00060797,             0.00060797
                     33,                0.83462,                0.96814,                 1.1173,                0.52688,                0.41669,                0.44389,                0.30689,                 1.1219,                 1.4621,                 1.3522,             0.00060444,             0.00060444,             0.00060444
                     34,                0.85832,                0.91832,                 1.1218,                0.50433,                0.45768,                 0.4503,                0.30096,                 1.1198,                 1.4977,                 1.3464,              0.0006009,              0.0006009,              0.0006009
                     35,                0.82665,                0.89526,                 1.0945,                0.47898,                0.43539,                0.44248,                0.29731,                 1.0781,                 1.4515,                 1.3354,             0.00059737,             0.00059737,             0.00059737
                     36,                0.80763,                0.89387,                 1.0865,                0.43608,                0.48537,                0.45726,                0.28835,                 1.0932,                 1.4706,                 1.3569,             0.00059383,             0.00059383,             0.00059383
                     37,                0.79951,                0.85638,                 1.0785,                0.47899,                0.42331,                0.42222,                0.28427,                 1.1168,                 1.6096,                  1.364,              0.0005903,              0.0005903,              0.0005903
