                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85292,                0.77995,                0.98758,                0.65618,                0.37284,                0.43104,                0.29642,                 1.1569,                  1.427,                 1.2223,             0.00055849,             0.00055849,             0.00055849
                     36,                0.81799,                0.74409,                0.98608,                0.54979,                0.37491,                0.42725,                0.30879,                 1.1426,                  1.435,                 1.2131,             0.00055378,             0.00055378,             0.00055378
                     37,                0.84553,                0.78739,                 1.0047,                0.56522,                0.38204,                0.43591,                0.30737,                 1.1555,                 1.4316,                 1.2267,             0.00054907,             0.00054907,             0.00054907
                     38,                0.82499,                0.75331,                0.99508,                0.54692,                0.43193,                0.43795,                 0.2913,                  1.153,                 1.4727,                 1.2229,             0.00054435,             0.00054435,             0.00054435
                     39,                 0.8249,                0.71128,                0.97757,                0.59183,                0.44308,                0.45654,                0.31479,                 1.1263,                 1.4619,                  1.219,             0.00053964,             0.00053964,             0.00053964
                     40,                 0.8299,                 0.7106,                0.98361,                0.53657,                0.38196,                0.40904,                0.28912,                 1.1451,                 1.4324,                 1.2295,             0.00053493,             0.00053493,             0.00053493
                     41,                0.85122,                0.71833,                0.99939,                0.45316,                0.39885,                0.39636,                0.28137,                 1.1257,                 1.4292,                 1.2105,             0.00053022,             0.00053022,             0.00053022
                     42,                0.80104,                0.69045,                0.97082,                0.40309,                 0.3976,                 0.4009,                0.28501,                 1.1146,                 1.3481,                 1.2092,              0.0005255,              0.0005255,              0.0005255
                     43,                0.82791,                0.71445,                0.98184,                0.45516,                0.47261,                0.42871,                0.30328,                  1.115,                 1.3753,                 1.2139,             0.00052079,             0.00052079,             0.00052079
                     44,                0.82007,                0.70757,                0.97762,                0.44924,                0.43032,                0.39777,                0.28539,                 1.1215,                 1.6279,                 1.2161,             0.00051608,             0.00051608,             0.00051608
                     45,                0.81125,                0.69775,                0.97192,                0.44275,                0.43043,                0.40082,                0.28846,                 1.1274,                  1.599,                 1.2372,             0.00051137,             0.00051137,             0.00051137
                     46,                0.80025,                 0.6887,                0.97797,                0.54893,                0.44751,                0.45034,                0.29691,                 1.1367,                 1.4775,                 1.2322,             0.00050665,             0.00050665,             0.00050665
                     47,                0.78124,                0.67617,                0.97608,                0.52234,                0.45601,                 0.4524,                0.30857,                 1.0935,                 1.3856,                 1.1987,             0.00050194,             0.00050194,             0.00050194
                     48,                0.80496,                 0.6572,                 0.9614,                0.56453,                0.38878,                0.44025,                0.30009,                 1.0952,                 1.3583,                 1.1967,             0.00049723,             0.00049723,             0.00049723
                     49,                0.80845,                0.65195,                0.96221,                0.44684,                0.44696,                0.42583,                0.30947,                 1.1183,                 1.3228,                 1.2102,             0.00049252,             0.00049252,             0.00049252
                     50,                0.79469,                0.67123,                0.97086,                0.54132,                0.41477,                0.43404,                0.31781,                 1.1112,                 1.3254,                 1.1992,              0.0004878,              0.0004878,              0.0004878
                     51,                0.75657,                0.64647,                0.95969,                0.63442,                0.38358,                 0.4316,                0.31691,                 1.1241,                 1.5208,                 1.2022,             0.00048309,             0.00048309,             0.00048309
                     52,                0.77807,                0.66393,                0.96413,                0.69044,                 0.3966,                0.46372,                0.31351,                 1.0931,                 1.4336,                 1.1848,             0.00047838,             0.00047838,             0.00047838
