                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78581,                0.73264,                 1.0121,                0.65672,                0.50682,                0.56268,                0.40255,                0.99222,                 1.1649,                 1.2004,             0.00059737,             0.00059737,             0.00059737
                     36,                0.77552,                0.71941,                 1.0122,                0.57619,                0.52789,                0.55399,                0.39394,                0.99672,                 1.2015,                 1.1972,             0.00059383,             0.00059383,             0.00059383
                     37,                0.77349,                0.72019,                 1.0143,                0.64824,                0.51123,                 0.5605,                0.40283,                0.96788,                 1.2077,                 1.1814,              0.0005903,              0.0005903,              0.0005903
                     38,                0.78047,                0.71889,                 1.0184,                0.63391,                0.51567,                0.56456,                 0.4076,                0.97017,                 1.2609,                 1.1932,             0.00058677,             0.00058677,             0.00058677
                     39,                0.77404,                0.70229,                 1.0097,                0.57576,                0.53578,                0.56457,                0.40211,                0.99064,                 1.1938,                 1.1929,             0.00058323,             0.00058323,             0.00058323
                     40,                 0.7792,                 0.6868,                  1.006,                0.65847,                0.49488,                0.56096,                0.40691,                0.97097,                 1.1639,                  1.188,              0.0005797,              0.0005797,              0.0005797
                     41,                0.76336,                0.70662,                  1.013,                0.60891,                0.52169,                 0.5578,                0.40147,                0.97876,                 1.2446,                 1.1915,             0.00057616,             0.00057616,             0.00057616
                     42,                0.77455,                0.69494,                 1.0128,                0.62792,                0.51979,                0.56603,                0.40647,                0.98088,                 1.2065,                 1.2022,             0.00057263,             0.00057263,             0.00057263
                     43,                0.76829,                0.68613,                 1.0075,                0.64323,                0.50527,                0.55128,                0.39827,                0.96509,                 1.2134,                 1.1771,             0.00056909,             0.00056909,             0.00056909
                     44,                0.76224,                0.68411,                0.99474,                0.63627,                0.54056,                0.57244,                0.41468,                0.97133,                  1.129,                 1.1861,             0.00056556,             0.00056556,             0.00056556
                     45,                0.74584,                0.67353,                0.99258,                0.63767,                0.52549,                0.56817,                0.41507,                0.95264,                 1.1642,                 1.1791,             0.00056203,             0.00056203,             0.00056203
                     46,                 0.7513,                0.67014,                0.99642,                0.68984,                0.48402,                 0.5699,                0.41708,                0.97299,                  1.201,                 1.1833,             0.00055849,             0.00055849,             0.00055849
