                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77806,                0.71265,                0.99559,                 0.4575,                0.50262,                0.45924,                0.32169,                 1.1151,                 1.4376,                 1.2893,             0.00055849,             0.00055849,             0.00055849
                     36,                 0.7745,                0.74018,                 1.0213,                0.55271,                0.49292,                0.49384,                0.33747,                 1.1157,                 1.3782,                 1.2908,             0.00055378,             0.00055378,             0.00055378
                     37,                 0.7727,                0.71181,                 1.0009,                0.51514,                0.49405,                0.46284,                0.31187,                 1.0932,                 1.4376,                 1.2738,             0.00054907,             0.00054907,             0.00054907
                     38,                0.75763,                0.69644,                0.99327,                0.54889,                0.41986,                0.44222,                0.30674,                 1.0959,                 1.4105,                 1.2598,             0.00054435,             0.00054435,             0.00054435
                     39,                0.76605,                0.69802,                0.99732,                0.46403,                0.48777,                0.46431,                0.32169,                 1.0803,                 1.3305,                 1.2429,             0.00053964,             0.00053964,             0.00053964
                     40,                0.76729,                0.71168,                0.99346,                0.68422,                0.36934,                0.43568,                0.30395,                 1.1224,                 1.5219,                 1.2666,             0.00053493,             0.00053493,             0.00053493
                     41,                0.77245,                0.68848,                0.98543,                0.61301,                0.39437,                0.42415,                0.29899,                 1.1164,                 1.4102,                 1.2712,             0.00053022,             0.00053022,             0.00053022
                     42,                0.76837,                 0.6546,                0.98212,                0.57014,                0.39173,                0.43463,                0.30309,                 1.0978,                 1.4063,                 1.2552,              0.0005255,              0.0005255,              0.0005255
                     43,                0.72658,                0.62806,                0.97135,                0.55744,                0.41527,                0.44772,                0.31537,                 1.0848,                 1.4013,                 1.2552,             0.00052079,             0.00052079,             0.00052079
                     44,                 0.7462,                0.69272,                0.98409,                0.57049,                0.42732,                0.46029,                0.31201,                 1.0954,                 1.4115,                 1.2624,             0.00051608,             0.00051608,             0.00051608
                     45,                0.75226,                0.64517,                0.98708,                0.52782,                0.51244,                0.48696,                0.32917,                 1.0975,                 1.3938,                 1.2587,             0.00051137,             0.00051137,             0.00051137
                     46,                0.73539,                0.64155,                0.97494,                0.50226,                0.53936,                0.51641,                 0.3407,                 1.0826,                 1.3521,                 1.2566,             0.00050665,             0.00050665,             0.00050665
                     47,                0.74563,                0.68775,                0.97798,                0.57284,                0.40488,                0.46072,                0.32431,                 1.0536,                 1.3847,                 1.2332,             0.00050194,             0.00050194,             0.00050194
                     48,                 0.7046,                0.63805,                0.96132,                0.49238,                0.47684,                0.46529,                0.33566,                 1.0491,                  1.268,                 1.2293,             0.00049723,             0.00049723,             0.00049723
                     49,                0.69262,                 0.5947,                0.95573,                0.56093,                  0.423,                0.47176,                 0.3362,                 1.0528,                 1.2502,                 1.2328,             0.00049252,             0.00049252,             0.00049252
                     50,                0.72387,                0.61815,                0.97168,                0.57006,                0.49033,                0.48884,                 0.3305,                 1.0776,                 1.3248,                 1.2347,              0.0004878,              0.0004878,              0.0004878
                     51,                0.68396,                0.56598,                0.95355,                0.47903,                0.45794,                0.46507,                0.32446,                 1.0831,                 1.3961,                 1.2478,             0.00048309,             0.00048309,             0.00048309
                     52,                0.70574,                0.59026,                  0.963,                0.47368,                 0.5085,                0.44657,                0.31836,                 1.0553,                 1.3603,                 1.2396,             0.00047838,             0.00047838,             0.00047838
                     53,                0.73145,                0.57797,                0.95798,                0.53336,                0.49815,                0.48166,                0.32845,                 1.0616,                 1.3458,                 1.2369,             0.00047367,             0.00047367,             0.00047367
                     54,                0.69914,                0.57999,                0.95054,                0.67688,                0.40378,                0.45705,                0.32524,                 1.0831,                 1.3273,                 1.2518,             0.00046896,             0.00046896,             0.00046896
                     55,                 0.7052,                 0.5902,                0.96518,                0.62492,                0.41001,                0.43691,                0.31156,                 1.0763,                 1.3742,                 1.2482,             0.00046424,             0.00046424,             0.00046424
                     56,                0.69503,                0.56279,                 0.9417,                0.60549,                0.47339,                0.50301,                0.33841,                 1.0629,                 1.4291,                 1.2381,             0.00045953,             0.00045953,             0.00045953
                     57,                0.69464,                0.59101,                0.96062,                0.64297,                0.44006,                0.49056,                0.33866,                 1.0598,                 1.3931,                 1.2387,             0.00045482,             0.00045482,             0.00045482
                     58,                0.67549,                0.56626,                0.94185,                 0.5595,                0.52423,                0.51229,                0.35873,                 1.0331,                 1.3196,                 1.2298,             0.00045011,             0.00045011,             0.00045011
                     59,                 0.7033,                0.58924,                0.97136,                0.52682,                0.53588,                0.49269,                 0.3573,                 1.0342,                 1.3234,                 1.2254,             0.00044539,             0.00044539,             0.00044539
                     60,                0.67595,                0.60301,                0.97321,                0.52219,                0.44589,                0.46644,                0.33106,                 1.0398,                 1.3079,                 1.2195,             0.00044068,             0.00044068,             0.00044068
                     61,                0.69321,                 0.5687,                0.95371,                0.48394,                0.50439,                0.46827,                  0.333,                 1.0454,                 1.3267,                 1.2307,             0.00043597,             0.00043597,             0.00043597
                     62,                 0.6664,                0.53739,                0.93547,                0.61285,                0.46485,                0.50694,                0.34054,                 1.0466,                 1.3267,                 1.2307,             0.00043126,             0.00043126,             0.00043126
                     63,                0.65544,                  0.541,                0.93732,                0.53739,                 0.5096,                0.50718,                0.34101,                 1.0533,                 1.3322,                 1.2373,             0.00042654,             0.00042654,             0.00042654
