                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0387,                 1.0949,                 1.0752,                0.52873,                0.43998,                0.39699,                0.26593,                 1.1676,                  1.479,                  1.208,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.0238,                 1.0952,                  1.068,                0.45372,                0.52781,                0.42839,                0.29345,                 1.1702,                  1.539,                 1.2097,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0008,                 1.1017,                  1.061,                0.46573,                0.51141,                0.44047,                0.29409,                 1.1692,                  1.532,                 1.2033,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.0197,                 1.0586,                 1.0628,                0.41658,                0.46081,                0.44157,                0.30317,                 1.1592,                 1.4997,                 1.1902,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.0096,                 1.0291,                 1.0529,                 0.6006,                0.37399,                0.41499,                0.28534,                 1.1469,                 1.4266,                 1.1852,              0.0006436,              0.0006436,              0.0006436
                     39,                 0.9934,                 1.0926,                 1.0651,                0.60312,                0.37375,                0.42247,                0.27798,                 1.1537,                 1.5099,                 1.1833,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.0064,                 1.0723,                 1.0707,                0.58809,                0.35917,                0.39884,                0.26775,                 1.1713,                 1.6344,                 1.2094,              0.0006238,              0.0006238,              0.0006238
                     41,                0.97393,                 1.0661,                 1.0592,                0.60406,                0.37901,                0.39519,                0.27274,                 1.1627,                 1.5408,                 1.2024,              0.0006139,              0.0006139,              0.0006139
                     42,                0.99913,                 1.0435,                 1.0593,                0.66188,                   0.34,                0.38433,                0.25733,                 1.1784,                 1.4776,                 1.2132,               0.000604,               0.000604,               0.000604
                     43,                0.98433,                 1.0347,                 1.0538,                0.58995,                0.48388,                0.43916,                0.28227,                 1.1977,                 1.4713,                  1.228,              0.0005941,              0.0005941,              0.0005941
                     44,                0.99193,                 1.0093,                 1.0557,                0.52422,                0.44499,                0.46813,                0.31035,                  1.161,                 1.4355,                 1.2058,              0.0005842,              0.0005842,              0.0005842
                     45,                0.99987,                   1.02,                 1.0556,                0.44752,                 0.4279,                0.45233,                0.30361,                 1.1514,                 1.4432,                 1.1961,              0.0005743,              0.0005743,              0.0005743
                     46,                0.98178,                 1.0069,                 1.0432,                0.42966,                0.45672,                0.42036,                0.29413,                 1.1405,                 1.4447,                 1.1832,              0.0005644,              0.0005644,              0.0005644
                     47,                0.97454,                 1.0024,                 1.0411,                0.58412,                 0.4536,                0.44427,                 0.3057,                 1.1315,                 1.3831,                 1.1781,              0.0005545,              0.0005545,              0.0005545
                     48,                0.96035,                0.99698,                 1.0478,                0.64873,                0.41572,                0.46208,                0.30807,                 1.1698,                 1.4227,                 1.2039,              0.0005446,              0.0005446,              0.0005446
