                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3261,                 2.4902,                 2.2314,                 1.4201,                0.66458,                0.09612,                0.19451,                0.06092,                0.65187,                0.06708,                0.15228,                 0.0412,                 2.0539,                 4.8306,                 3.2142,                 2.1983,             0.00047029,             0.00047029,             0.00047029
                     25,                 1.2743,                 2.3822,                 2.2508,                 1.4247,                0.57024,                0.08518,                0.11902,                0.05112,                0.39498,                0.11966,                0.09536,                0.02927,                 2.0248,                 4.7851,                 3.2191,                 2.1953,             0.00047227,             0.00047227,             0.00047227
                     26,                 1.2281,                 2.3022,                 2.2296,                 1.3443,                0.57024,                0.08518,                0.11902,                0.05112,                0.39498,                0.11966,                0.09536,                0.02927,                 2.0248,                 4.7851,                 3.2191,                 2.1953,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.2747,                 2.4174,                 2.2457,                 1.3462,                0.50369,                0.09866,                0.10944,                0.04469,                0.41953,                0.12821,                0.07388,                 0.0259,                 2.0483,                 4.6938,                 3.2114,                 2.2276,             0.00045904,             0.00045904,             0.00045904
                     28,                 1.2624,                 2.2275,                 2.0757,                 1.3923,                0.50369,                0.09866,                0.10944,                0.04469,                0.41953,                0.12821,                0.07388,                 0.0259,                 2.0483,                 4.6938,                 3.2114,                 2.2276,             0.00044105,             0.00044105,             0.00044105
                     29,                 1.2068,                 2.4651,                  2.134,                 1.3778,                0.46198,                0.15867,                0.13265,                0.06834,                0.43423,                0.24834,                0.10012,                0.04179,                 2.0133,                 4.5786,                 3.0585,                 2.2363,             0.00042305,             0.00042305,             0.00042305
                     30,                  1.261,                  2.435,                  2.202,                 1.3771,                0.46198,                0.15867,                0.13265,                0.06834,                0.43423,                0.24834,                0.10012,                0.04179,                 2.0133,                 4.5786,                 3.0585,                 2.2363,             0.00040505,             0.00040505,             0.00040505
                     31,                  1.187,                 2.2792,                 1.9833,                 1.2901,                0.47514,                0.35089,                0.15787,                0.07903,                0.42556,                0.30769,                0.11273,                0.04663,                 2.0511,                 4.6219,                 2.9051,                 2.3017,             0.00038705,             0.00038705,             0.00038705
                     32,                 1.2053,                 2.3374,                 2.0461,                 1.3684,                0.47514,                0.35089,                0.15787,                0.07903,                0.42556,                0.30769,                0.11273,                0.04663,                 2.0511,                 4.6219,                 2.9051,                 2.3017,             0.00036905,             0.00036905,             0.00036905
                     33,                 1.1452,                 2.1368,                 1.8516,                 1.2768,                0.49599,                 0.3337,                0.16362,                0.08158,                0.42958,                0.30769,                 0.1118,                 0.0497,                 2.0747,                  4.636,                 2.8699,                 2.3061,             0.00035106,             0.00035106,             0.00035106
                     34,                 1.1439,                 2.1164,                 1.8531,                  1.288,                0.49599,                 0.3337,                0.16362,                0.08158,                0.42958,                0.30769,                 0.1118,                 0.0497,                 2.0747,                  4.636,                 2.8699,                 2.3061,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.2436,                 2.2995,                 1.9478,                 1.3261,                0.45259,                0.35935,                0.13639,                0.06499,                0.42647,                0.33631,                0.09104,                0.03492,                 2.0868,                 4.6649,                 2.9241,                 2.3187,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.3188,                 2.4438,                 2.1826,                 1.3714,                0.45259,                0.35935,                0.13639,                0.06499,                0.42647,                0.33631,                0.09104,                0.03492,                 2.0868,                 4.6649,                 2.9241,                 2.3187,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.2485,                 2.2846,                 1.9924,                 1.3314,                0.42261,                 0.2029,                 0.1242,                0.06368,                0.40081,                0.17689,                0.08298,                0.03003,                 2.0954,                 4.6752,                 2.9839,                 2.3338,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.1924,                 2.1755,                 1.8652,                 1.3428,                0.42261,                 0.2029,                 0.1242,                0.06368,                0.40081,                0.17689,                0.08298,                0.03003,                 2.0954,                 4.6752,                 2.9839,                 2.3338,             0.00026106,             0.00026106,             0.00026106
                     39,                  1.191,                 2.1106,                 1.7788,                 1.2466,                0.42047,                0.21576,                0.12202,                0.05782,                0.38873,                0.17261,                0.07637,                0.02855,                 2.1039,                 4.6248,                 3.0371,                 2.3266,             0.00024307,             0.00024307,             0.00024307
                     40,                 1.1495,                 2.2123,                 1.7942,                 1.3256,                0.42047,                0.21576,                0.12202,                0.05782,                0.38873,                0.17261,                0.07637,                0.02855,                 2.1039,                 4.6248,                 3.0371,                 2.3266,             0.00022507,             0.00022507,             0.00022507
                     41,                 1.2196,                 2.3719,                 2.3153,                 1.4146,                0.44356,                0.39404,                 0.1385,                0.06499,                0.42477,                0.35187,                0.10582,                0.03429,                 2.0977,                 4.6233,                 3.0142,                 2.3276,             0.00020707,             0.00020707,             0.00020707
                     42,                 1.1874,                   2.29,                  1.989,                 1.3552,                0.44356,                0.39404,                 0.1385,                0.06499,                0.42477,                0.35187,                0.10582,                0.03429,                 2.0977,                 4.6233,                 3.0142,                 2.3276,             0.00018907,             0.00018907,             0.00018907
                     43,                 1.1968,                 2.2144,                 1.9376,                 1.4017,                0.42844,                0.34132,                0.13712,                0.06447,                 0.4102,                0.30676,                 0.1023,                0.03549,                 2.0708,                 4.5872,                 3.0231,                 2.3055,             0.00017107,             0.00017107,             0.00017107
                     44,                 1.1608,                 2.0739,                 1.8841,                 1.3588,                0.42844,                0.34132,                0.13712,                0.06447,                 0.4102,                0.30676,                 0.1023,                0.03549,                 2.0708,                 4.5872,                 3.0231,                 2.3055,             0.00015308,             0.00015308,             0.00015308
                     45,                 1.2536,                 2.2803,                 2.0855,                 1.4237,                0.46203,                0.29989,                0.13258,                0.06564,                0.43622,                0.27815,                0.10539,                0.03876,                 2.0469,                 4.5527,                 2.9545,                 2.3084,             0.00013508,             0.00013508,             0.00013508
                     46,                 1.1876,                  2.207,                 1.9638,                 1.3924,                0.46203,                0.29989,                0.13258,                0.06564,                0.43622,                0.27815,                0.10539,                0.03876,                 2.0469,                 4.5527,                 2.9545,                 2.3084,             0.00011708,             0.00011708,             0.00011708
                     47,                 1.1546,                  2.063,                 1.8788,                 1.3305,                0.51235,                0.29562,                0.16001,                0.07739,                0.48584,                0.28112,                0.14496,                0.04961,                 2.0556,                 4.5061,                 2.9343,                 2.3226,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 1.1784,                  2.279,                 1.9816,                 1.3525,                0.51235,                0.29562,                0.16001,                0.07739,                0.48584,                0.28112,                0.14496,                0.04961,                 2.0556,                 4.5061,                 2.9343,                 2.3226,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                 1.0206,                  2.128,                 1.9055,                 1.2551,                0.52527,                0.29012,                 0.1597,                0.07619,                0.51455,                0.28112,                0.15209,                0.05437,                 2.0427,                 4.5417,                 2.9062,                 2.3236,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                 1.2004,                 2.2404,                 1.9475,                  1.414,                0.52527,                0.29012,                 0.1597,                0.07619,                0.51455,                0.28112,                0.15209,                0.05437,                 2.0427,                 4.5417,                 2.9062,                 2.3236,             4.5086e-05,             4.5086e-05,             4.5086e-05
